,Country,Birth Rate,Cancer Rate,Dengue_Cases,EPI,GDP(US$mil),Health Expenditure,Heart Disease Rate,Population,Area(km²),Pop_density,Stroke Rate,Life Expectancy
269,bosnia/herzeg.,,107.64,,,,,123.19,,,,102.85,
270,micronesia,,102.99,,49.8,,,156.8,,,,99.12,
271,solomon isl.,,98.43,,,,,147.0,,,,119.21,
272,swaziland,,98.24,,40.32,,313,126.95,,,,114.83,
273,cote d ivoire,,95.0,,,,,175.14,,,,171.11,
274,central africa,,82.66,,,,,110.11,,,,155.11,
275,equ. guinea,,72.91,,,,,126.86,,,,112.47,
276,arab emirates,,46.07,,,,,147.92,,,,78.0,
277,puerto rico,,,13990.0,,104344,,,3721978.0,9104.0,408.8,,
278,brunei darussalam,,,,63.57,,803,,,,,,
279,cabo verde,,,,56.94,,,,,,,,
280,dem. rep. congo,,,,30.41,,,,,,,,
281,republic of congo,,,,42.39,,,,,,,,
282,united states of america,,,,71.19,,7950,,,,,,
283,viet nam,,,,46.96,,77,68.84,,,,115.38,
284,"korea, south",,,,,1619424,,,,,,,
285,"congo, democratic republic of the",,,,,42644,,,,,,,
286,"bahamas, the",,,,,12803,,,,,,,
287,north macedonia,,,,,12669,316,,,,,,
288,"congo, republic of the",,,,,11188,,,,,,,
289,eswatini,,,,,4679,,,,,,,
290,st. lucia,,,,,1874,,,,,,,
291,"gambia, the",,,,,1617,,,,,,,
292,st. kitts and nevis,,,,,1019,,,,,,,
293,st. vincent and the grenadines,,,,,826,,,,,,,
294,"micronesia, federated states of",,,,,374,,,,,,,
295,cook islands,,,,,,478,,,,,,
296,iran (islamic republic of),,,,,,441,,,,,,
297,lao people's democratic republic,,,,,,35,,,,,,
298,micronesia (federated states of),,,,,,371,,,,,,
299,niue,,,,,,1288,,,,,,
300,republic of korea,,,,,,1437,,,,,,
301,republic of moldova,,,,,,198,,,,,,
302,russian federation,,,,,,567,,,,,,
303,sao tome and principe,,,,,,60,,,,,,
304,united republic of tanzania,,,,,,36,,,,,,
305,venezuela (bolivarian republic of),,,,,,614,,,,,,
306,cote d'ivoire,,,,,,,,21570746.0,322463.0,66.9,,
307,republic of the congo,,,,,,,,3758678.0,342000.0,11.0,,
